drug_id,disease_id,dose,frequency,route,notes
D002,DIS001,5mg,每日一次,口服,可增至10mg
D003,DIS001,80mg,每日一次,口服,可增至160mg
D008,DIS001,47.5mg,每日一次,口服,缓释片
D004,DIS002,500mg,每日两次,口服,餐中或餐后服用
D004,DIS002,850mg,每日两次,口服,最大2550mg/日
D005,DIS003,20mg,每日一次,口服,晚间服用
D009,DIS003,10mg,每日一次,口服,可增至20mg
D001,DIS004,100mg,每日一次,口服,肠溶片
D007,DIS004,75mg,每日一次,口服,至少12个月
D006,DIS005,20mg,每日一次,口服,早餐前30分钟
D013,DIS005,10mg,每日一次,口服,可增至20mg
D001,DIS006,100mg,每日一次,口服,抗血小板
D008,DIS006,47.5mg,每日一次,口服,控制心率
D015,DIS001,5mg,每日两次,口服,可增至10mg bid
