drug_id_a,drug_id_b,severity,description,recommendation
D002,D012,moderate,氨氯地平可升高辛伐他汀血药浓度,CYP3A4底物，辛伐他汀剂量不超过20mg/日并监测
D005,D002,moderate,氨氯地平与阿托伐他汀联用需关注肌病风险,监测CK及肌肉症状
D001,D007,moderate,双抗联用增加出血风险,用于冠心病二级预防时可联用，需评估出血风险
D006,D007,moderate,奥美拉唑可能降低氯吡格雷活性代谢物,优先选用泮托拉唑或雷贝拉唑
D003,D011,major,ARB类药物重复联用,禁止两种ARB/ACEI-ARB联用
D015,D003,major,ACEI与ARB联用增加高钾血症和肾损伤风险,避免联用
D004,D010,moderate,磺脲类与二甲双胍联用增加低血糖风险,监测血糖，从小剂量开始
D008,D015,moderate,β受体阻滞剂与ACEI联用需监测血压和心率,常见联合降压方案，注意起始剂量
D005,D009,major,两种他汀类药物禁止联用,选择单一他汀并调整剂量
D012,D009,major,两种他汀类药物禁止联用,选择单一他汀并调整剂量
